 -> 1561603093328005
2 -> 1247
Pereiras -> 5016
2 -> 1057
Pereiras -> 3269
2 -> 1190
Pereiras -> 2225
2 -> 1318
Pereiras -> 2193
2 -> 1041
Pereiras -> 3057
2 -> 1130
Pereiras -> 2228
2 -> 979
Pereiras -> 2761
2 -> 1076
Pereiras -> 2117
2 -> 1080
Pereiras -> 2150
2 -> 1092
Pereiras -> 6876
2 -> 1100
Pereiras -> 2188
2 -> 1235
Pereiras -> 2332
2 -> 1142
Pereiras -> 1976
2 -> 984
Pereiras -> 2237
2 -> 1128
Pereiras -> 2660
2 -> 988
Pereiras -> 1987
2 -> 1005
Pereiras -> 1875
2 -> 1002
Pereiras -> 1773
2 -> 1001
Pereiras -> 1993
2 -> 967
Pereiras -> 2017
7 -> 1017
